recipe_title,subcategory,ingredients,directions,num_ingredients,num_steps,est_prep_time_min,est_cook_time_min,dietary_profile,healthiness_score,health_level
Copycat Wingstop Cajun Corn,Air Fryer Recipes,"[""4 ears corn"", ""2 tablespoons olive oil"", ""1 1/4 teaspoons kosher salt"", ""1/2 cup butter"", ""1/2 teaspoon pepper"", ""1 teaspoon onion powder"", ""1 teaspoon garlic powder"", ""1/4 teaspoon thyme"", ""1/4 teaspoon oregano"", ""1 teaspoon paprika"", ""1/4 teaspoon cayenne pepper""]","[""Cut corn into 2-inch thick pieces. Toss corn with olive oil, 1 teaspoon salt and 2 tablespoons melted butter."", ""Preheat an air fryer to 400 degrees F (200 degrees C) according to manufacturer's instructions. Add corn to air fryer and cook about 15 minutes, tossing occasionally, until partially golden brown."", ""Meanwhile, combine remaining salt and butter with remaining ingredients in a large bowl and mix well."", ""Add cooked corn to butter mixture and toss well to coat.""]",11,4,19,22,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",74,moderate
Air Fryer Smashed Potatoes,Air Fryer Recipes,"[""8 ounces baby gold potatoes"", ""1 tablespoon melted unsalted butter"", ""1/2 teaspoon salt"", ""1/4 teaspoon garlic powder"", ""1/4 teaspoon freshly ground black pepper"", ""chopped fresh parsley for garnish (Optional)""]","[""Preheat an air fryer to 400 degrees F (200 degrees C)."", ""Meanwhile, place potatoes in a microwave-safe bowl: cook on high until just tender, about 5 minutes."", ""Transfer potatoes to a baking sheet and use the bottom of a small glass to gently \""smash\"" them to 3/4 or 1/2-inch thick. The thinner you flatten the potatoes, the crispier they will be."", ""Brush melted butter over the tops of smashed potatoes. Season with salt, garlic powder, and pepper."", ""Place potatoes in the basket of the air fryer in an even layer; cook until golden and crisp, about 10 minutes. Garnish with parsley and serve hot.""]",6,5,16,40,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",72,moderate
Air Fryer Firecracker Salmon Bites,Air Fryer Recipes,"[""1/4 cup balsamic vinegar"", ""1/4 cup brown sugar"", ""3 tablespoons vegetable oil,"", ""3 tablespoons soy sauce"", ""1 tablespoon minced garlic"", ""1 tablespoon ginger"", ""2 teaspoons crushed red pepper flakes, or more to taste"", ""1/2 teaspoon kosher salt"", ""1 1/4 pounds salmon filets"", ""cooking spray""]","[""Combine balsamic vinegar, brown sugar, oil, soy sauce, garlic, ginger, red pepper, and salt in a bowl and whisk well. Set aside half of marinade for serving."", ""Add salmon to remaining marinade in the bowl and toss lightly to coat. Cover with plastic wrap and marinate in the refrigerator for at least 30 minutes, and up to 4 hours."", ""Preheat the air fryer to 400 degrees F (200 degrees C) for 2 to 3 minutes, or according to manufacturer's instructions. Spray air fryer basket with nonstick cooking spray."", ""Add salmon in a single layer, cooking in batches if necessary, and cook until salmon flakes easily with a fork and is lightly browned and crisp around the edges, 6 to 8 minutes. Serve drizzled with reserved sauce.""]",10,4,19,34,"[""vegan"", ""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",66,moderate
Air Fryer Bell Pepper Poppers,Air Fryer Recipes,"[""9 mini pepper mini bell peppers"", ""5.2 ounce Gournay cheese"", ""6 slices bacon, each cut into 3 short pieces"", ""fresh parsley for garnish (optional)""]","[""Preheat the air fryer to 400 degrees F (200 degrees C), according to manufacturer's directions."", ""Slice each mini-pepper in half, from stem to tip. Remove membranes and seeds. Fill each mini-pepper with Boursin and place a piece of bacon on top."", ""Place filled mini-pepper halves in a single layer in the air fryer and cook until bacon is as crisp as you like, 8 to 12 minutes. Air fry in batches, if necessary."", ""Place on a serving platter, garnish with parsley, and serve warm.""]",4,4,16,47,"[""gluten_free"", ""nut_free""]",68,moderate
Air Fryer Buffalo Cauliflower,Air Fryer Recipes,"[""½ cup Buffalo wing sauce (such as Frank's)"", ""1 tablespoon butter, melted"", ""1 teaspoon honey"", ""1 (2 pound) cauliflower, broken into florets"", ""¼ cup all-purpose flour"", ""¼ cup cornstarch"", ""1 teaspoon garlic powder"", ""½ teaspoon seasoned salt (such as Lawry's)"", ""¼ teaspoon paprika"", ""drizzle of buffalo wing sauce (optional)""]","[""Combine hot sauce, butter, and honey in a large bowl; whisk until well combined. Add cauliflower florets and stir until well coated."", ""Combine flour, cornstarch, garlic powder, seasoning salt, and paprika in a separate bowl, stirring well. Gradually sprinkle the flour mixture over the cauliflower florets, tossing until all florets are coated."", ""Preheat the air fryer to 390 degrees F (195 degrees C). Spray the fryer basket with olive oil spray or line with a parchment liner."", ""Transfer cauliflower florets to the air fryer basket in a single layer, making sure not to overcrowd the basket, so they'll crisp up and not turn soggy."", ""Air fry for 10 to 15 minutes, shaking the basket several times until the florets are lightly browned. They should be crispy, but not overcooked or mushy. You may have to cook in batches depending on the size of your air fryer. Time may vary depending on the size and brand of your air fryer."", ""Give the cauliflower a light drizzle of buffalo wing sauce when they come out of the air fryer, if desired. Serve with your choice of a creamy dipping sauce.""]",10,6,22,33,"[""nut_free"", ""halal"", ""kosher""]",54,moderate
Air Fryer Cheesy Bacon Ranch French Fries,Air Fryer Recipes,"[""4 cups frozen French fries"", ""1/4 cup olive oil"", ""2 tablespoons ranch salad dressing mix"", ""2 teaspoons bacon bits"", ""1 pinch salt"", ""1/4 cup shredded Cheddar cheese""]","[""Preheat an air fryer to 400 degrees Fahrenheit (200 degrees C). Place frozen French fries in a large bowl."", ""Whisk olive oil and dry ranch salad mix in a separate small bowl until smooth. Pour olive oil mixture over the fries and toss to coat. Add bacon bits and salt. Toss again."", ""Place seasoned fries in the basket of the air fryer. Cook for 7 minutes. Shake the basket and cook 5 minutes more."", ""Sprinkle shredded cheese over the fries. Cook 2 minutes. Using a spatula, transfer to a serving platter and serve immediately.""]",6,4,20,49,"[""gluten_free"", ""nut_free""]",62,moderate
Air Fryer Pecan Crusted Trout,Air Fryer Recipes,"[""2/3 cup chopped pecans"", ""1 teaspoon dried rosemary, crushed"", ""1/2 teaspoon salt"", ""2 tablespoons flour"", ""1 large egg"", ""4 (4-ounce) rainbow trout fillets, thawed if frozen, skinned if desired"", ""2 teaspoons maple syrup"", ""lemon wedges, for serving""]","[""Preheat an air fryer to 400 degrees F (200 degrees C)."", ""Stir pecans, rosemary, and salt together in a shallow dish. In a second shallow dish, add flour. In a third shallow dish, lightly beat egg. Dip one side of each fillet in flour, shaking off excess; dip into egg, then into pecan mixture, lightly pressing to coat fish."", ""Working in batches if needed, arrange fillets on parchment paper, pecan-coating up. Transfer fish on parchment to the air fryer basket."", ""Cook until fish easily flakes with a fork and an instant-read thermometer inserted into thickest part of fillets registers 145 degrees F (62 degrees C), 7 to 8 minutes."", ""Drizzle fillets with maple syrup and serve with lemon wedges.""]",8,5,16,25,"[""halal"", ""kosher""]",68,moderate
Air Fryer Turtle Cheesecake,Air Fryer Recipes,"[""1 cup graham cracker crumbs"", ""1 tablespoon sugar"", ""6 tablespoons butter, melted"", ""12 ounces cream cheese, softened"", ""1/3 cup sour cream"", ""1/3 cup sugar"", ""1 teaspoon lemon juice"", ""1 teaspoon vanilla extract"", ""1 pinch salt"", ""2 large eggs"", ""2 tablespoons 2"", ""2 tablespoons caramel ice cream topping, or to taste"", ""2 tablespoons pecans, or to taste""]","[""Line the bottom of a 7- to 7 1/2-inch springform pan or cake pan with parchment paper. Stir together graham crackers and 1 tablespoon sugar in a bowl. Stir in melted butter. Press crumb mixture into the bottom and 1 inch up the sides of the prepared pan."", ""For the filling, combine cream cheese, sour cream, 1/3 cup sugar, lemon juice, vanilla, and salt in a bowl. Beat with an electric mixer at medium-high speed until smooth. Add eggs, 1 at a time, beating at low speed just until combined. Pour filling over the crust. Arrange pan in the air fryer basket."", ""Set air fryer to 300 degrees F (150 degrees C)."", ""Cook for 15 minutes. Reduce temperature to 240 degrees F (115 degrees C) and cook 20 minutes more. The center of the cheesecake will appear wet and may jiggle slightly. Transfer cheesecake to a wire rack. Let stand about 15 minutes. Using a small sharp knife or thin spatula, loosen cheesecake from sides of pan; let stand until completely cooled, about 30 minutes more. Remove cheesecake from pan. Chill, covered, at least 4 hours or up to overnight."", ""To serve, drizzle with chocolate and caramel ice cream toppings and sprinkle with pecans.""]",13,5,27,54,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",38,unhealthy
Crab Rangoon in the Air Fryer,Air Fryer Recipes,"[""1/2 cup apricot fruit spread"", ""1 tablespoon chili-garlic sauce"", ""1 tablespoon less-sodium soy sauce"", ""1/2 teaspoon orange zest"", ""2 tablespoons freshly squeezed orange juice (from 1 orange)"", ""4 ounces cream cheese"", ""4 ounces crabmeat, drained"", ""2 tablespoons chives"", ""2 teaspoons orcestershire sauce"", ""1 clove garlic, grated (about 1/2 teaspoon)"", ""1/4 teaspoon ground black pepper"", ""1/8 teaspoon salt"", ""18 wonton wrappers"", ""cooking spray""]","[""Stir together apricot spread, chili-garlic sauce, soy sauce, orange zest, and orange juice in a small bowl for the dipping sauce."", ""Preheat air fryer to 350 degrees F (175 degrees C)."", ""Stir together cream cheese, crab, chives, Worcestershire, garlic, pepper, and salt in a bowl for the filling. Arrange 6 wonton wrappers on a work surface. Keep remaining wrappers covered until ready to use to prevent them from drying out."", ""Spoon about 2 teaspoon crab filling in center of each wrapper. Lightly wet borders of wrapper with water. Bring together the 2 opposite corners of the wrapper over the filling and seal together. Bring remaining 2 corners up toward the center, sealing edges of the wrapper to enclose the filling. Repeat with remaining wrappers and filling."", ""Working in batches if needed, coat dumplings with cooking spray and arrange in an even layer in the air fryer basket."", ""Cook until dumplings are crispy and golden brown, about 8 minutes. Serve with sauce.""]",14,6,27,43,"[""gluten_free"", ""nut_free"", ""halal""]",76,moderate
Air Fryer Raspberry Brownie Bites,Air Fryer Recipes,"[""2/3 cup fresh or frozen raspberries"", ""2 tablespoons cashew butter"", ""2 tablespoons water"", ""4 ounces dark chocolate, chopped"", ""4 tablespoons unsalted butter"", ""1/4 cup canola oil"", ""1 large egg"", ""1 large egg yolk"", ""1/2 cup sugar"", ""1 teaspoon vanilla extract"", ""1/4 teaspoon salt"", ""1/3 cup all purpose flour"", ""1/3 cup whole-wheat pastry flour"", ""2 tablespoons unsweetened cocoa powder""]","[""Lightly coat 20 (13/4-inch) foil muffin cups with cooking spray."", ""Cook raspberries in a small saucepan over medium-low heat, stirring and crushing them with a fork, until broken down, 2 to 4 minutes. Transfer to a mini food processor. Add cashew butter and the water; purée until smooth."", ""Stir together dark chocolate, butter, and oil in a stainless-steel bowl. Set bowl over a saucepan of gently simmering water and melt ingredients, stirring occasionally. Remove from heat and stir until combined. Let cool about 20 minutes."", ""Combine egg, egg yolk, sugar, vanilla, and salt in another bowl. Beat with an electric mixer at medium-high until thickened, 3 to 5 minutes."", ""In a small bowl, whisk together flours and cocoa powder. Fold flour mixture, half at a time, into egg mixture until incorporated. With mixer running at medium-low, mix in melted chocolate mixture until well combined."", ""Spoon 2 teaspoons brownie batter into each prepared muffin cup. Layer 1 teaspoon raspberry mixture followed by 1/2 teaspoon brownie batter over top of each. Working in batches if needed, arrange muffin cups in an even layer in the air fryer basket."", ""Preheat air fryer to 350 degrees F (175 degrees C)."", ""Cook brownies in the preheated air fryer until set, about 5 minutes. Remove and cool on a wire rack. Brownies will keep chilled and covered for up to 3 days.""]",14,8,33,64,"[""halal"", ""kosher""]",44,unhealthy
3-Ingredient Air Fryer Everything Bagel Chicken Strips,Air Fryer Main Dish Recipes,"[""1 ¼ pounds chicken tenders"", ""1 tablespoon olive oil"", ""1/3 cup everything bagel seasoning or to taste""]","[""Gather all ingredients. Preheat an air fryer to 400 degrees F (200 degrees C), or according to manufacturer's instructions."", ""Place tenders in a bowl. Add oil and toss to coat. Add everything seasoning and toss to coat again."", ""Place tenders in the air fryer basket in a single layer; cook in batches if necessary. Cook until no longer pink at the center and juices run clear, about 12 minutes. An instant read thermometer inserted near the center should read at least 165 degrees F (74 degrees C)."", ""Transfer to a serving plate and serve with desired dipping sauce.""]",3,4,15,42,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",68,moderate
Air Fryer Salmon Croquettes,Air Fryer Main Dish Recipes,"[""1 (14.5 ounce) can salmon, drained and flaked"", ""¾ cup panko bread crumbs"", ""½ cup diced onion"", ""⅓ cup mayonnaise"", ""1 large egg, beaten"", ""½ lemon, juiced"", ""1 teaspoon dried dill weed"", ""1 teaspoon seafood seasoning (such as Old Bay)"", ""salt and freshly ground black pepper to taste"", ""avocado oil nonstick cooking spray""]","[""Combine salmon, panko, onions, mayonnaise, beaten egg, lemon juice, dill, seafood seasoning, salt, and pepper in a large bowl. Mix to combine and shape into 6 equal-sized croquettes."", ""Preheat the air fryer to 400 degrees F (200 degrees C). Line the air fryer basket with parchment paper and spray with avocado oil."", ""Working in batches if needed, place salmon croquettes into the prepared basket and spray the tops with avocado oil."", ""Cook in the preheated air fryer until croquettes are golden brown, 8 to 10 minutes. Flip croquettes over, spray again with avocado oil, and cook for 4 to 7 more minutes.""]",10,4,18,27,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",84,healthy
Air Fryer Pesto Chicken Quinoa Bowl,Air Fryer Main Dish Recipes,"[""2 teaspoons pesto"", ""1/4 teaspoon garlic powder"", ""1 pound boneless chicken breasts"", ""2 teaspoons olive oil"", ""1/8 teaspoon crushed red pepper flakes"", ""1/8 teaspoon salt"", ""1/8 teaspoon ground black pepper"", ""1 zucchini,"", ""nonstick cooking spray"", ""2 cups cooked quinoa (see Note)"", ""10 basil leaves,"", ""1 cup grape tomatoes,"", ""1/4 cup feta cheese""]","[""Mix together pesto and garlic powder in a bowl. Add chicken to bowl and stir until evenly coated."", ""In a separate bowl mix together olive oil, pepper flakes, salt, and black pepper. Add zucchini to the bowl and stir until evenly coated."", ""Preheat an air fryer to 400 degrees F (200 degrees C)."", ""Lightly spray air fryer with nonstick spray. Place chicken on one side, and place seasoned zucchini on the other side."", ""Fry in the preheated air fryer until an instant-read thermometer inserted into the center of chicken reads 165 degrees F (74 degrees C), about 10 minutes."", ""Mix cooked quinoa and chopped basil leaves together."", ""In a bowl place 1 cup quinoa, ½ cup chopped tomatoes, half the chicken breasts, and half the zucchini spears. Top each bowl with half the feta cheese and serve.""]",13,7,26,41,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",88,healthy
Air Fryer Chicken Parmesan,Air Fryer Main Dish Recipes,"[""2 2(8-ounce) boneless skinless chicken breasts, patted dry"", ""3/4 teaspoon kosher salt, divided"", ""1/2 teaspoon black pepper, divided"", ""1/3 cup all purpose flour"", ""2 large eggs, lightly beaten"", ""1 1/2 cups seasoned panko (Japanese-style breadcrumbs)"", ""1/4 cup armesan cheese, plus more for garnish"", ""2 tablespoons olive oil"", ""1/4 teaspoon crushed red pepper"", ""1/4 teaspoon garlic powder"", ""1 cup marinara sauce, plus more for serving"", ""1 cup mozzarella cheese""]","[""Gather all ingredients."", ""On a cutting board, butterfly chicken by cutting each breast in half widthwise to create 4 thin pieces of chicken; season both sides with 1/2teaspoon of the salt and 1/4 teaspoon of the black pepper."", ""Place flour, egg, and panko in 3 separate shallow dishes. Add Parmesan, oil, crushed red pepper, and garlic powder to panko; stir to coat. Add remaining 1/4 teaspoon salt and remaining 1/4 teaspoon black pepper to flour; stir to combine. Working with 1 chicken piece at a time, dredge chicken in flour; shake off excess. Dip in egg; let excess drip off. Dredge in panko mixture to coat; place on a plate."", ""Preheat a 6-quart air fryer to 400 degrees F (200 degrees C) for 2 minutes. Working in two batches, add 2 chicken cutlets to the air fryer basket in a single layer. Cook until chicken is golden brown on both sides, about 5 minutes per side."", ""Top each chicken piece with 1/4 cup marinara and 1/4 cup mozzarella cheese."", ""Snugly fit all 4 breasts in a single layer in air fryer basket; cook at 400 degrees F (200 degrees C) until cheese is melted and browned and a thermometer inserted into the thickest portion of chicken registers 165 degrees F (73 degrees C), 2 to 3 minutes.""]",12,6,28,53,"[""nut_free"", ""halal"", ""kosher""]",70,moderate
Air Fryer Naked Chicken Tenders,Air Fryer Main Dish Recipes,"[""1 tablespoon ground cumin"", ""1 tablespoon ground coriander"", ""1 1/2 teaspoons ground black pepper, or to taste"", ""1 teaspoon garlic powder"", ""1 teaspoon salt, or to taste"", ""1 pound chicken tenderloins"", ""2 teaspoons olive oil"", ""1 tablespoon fresh parsley"", ""4 wedges lemon (optional)""]","[""Preheat the air fryer to 390 degrees F (199 degrees C) according to manufacturer's directions."", ""Add cumin, coriander, pepper, garlic powder, and salt to a small bowl, and stir until well combined. Pat the tenders dry with a paper towel, drizzle tenders with olive oil, and rub both sides, pressing down, with the spice mixture until well coated with oil and spices."", ""Place tenders in a single layer in the air fryer basket, and cook for 6 to 8 minutes, flipping halfway through. If using a meat thermometer to check for doneness, internal temperature should reach 165 degrees F (74 degrees C) in the thickest part. Depending on the brand and size of your air fryer, you may have to cook in batches, and timing may vary."", ""Remove from the air fryer, garnish with chopped parsley, and serve with a wedge of lemon.""]",9,4,19,44,"[""gluten_free"", ""nut_free"", ""halal"", ""kosher""]",80,healthy
